Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of Use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn,Seconds per Use,Call per Month,SMS per Month,Seconds per Month,Usage Index
0,0,36,1,338,4,4,2,5,1,1,55,11.13,0,84.5,0.44,0.44,37.56,-2.801560411313163
25,0,31,3,16075,238,0,80,2,2,1,25,734.085,0,67.54,26.44,0.0,1786.11,4.944286266788637
6,0,34,3,6965,116,271,33,2,2,1,25,1538.145,0,60.04,12.89,30.11,773.89,3.0533312035808864
2,0,36,0,3718,82,2,28,2,1,1,25,180.0,0,45.34,9.11,0.22,413.11,-0.6671400575766756
3,0,35,0,1665,44,38,20,3,1,2,30,220.36,0,37.84,4.89,4.22,185.0,-1.4955623265347524
6,0,36,0,2780,53,175,23,2,1,1,25,914.985,0,52.45,5.89,19.44,308.89,0.1276014159535186
4,0,27,1,1315,36,193,11,2,2,1,25,929.295,0,36.53,4.0,21.44,146.11,-0.35575729279725654
11,0,27,0,700,25,10,7,2,1,2,25,77.625,0,28.0,2.78,1.11,77.78,-2.299215965160556
0,0,26,0,825,10,21,3,4,1,2,45,73.375,1,82.5,1.11,2.33,91.67,-2.4329785818962915
10,0,25,0,1225,32,19,13,2,1,1,25,142.065,0,38.28,3.56,2.11,136.11,-1.974568370732008
2,0,25,0,3225,61,8,23,3,1,1,30,163.44,0,52.87,6.78,0.89,358.33,-1.0951053374638822
2,0,18,0,1695,26,28,14,2,1,1,25,203.445,0,65.19,2.89,3.11,188.33,-1.8882434409674285
16,0,17,1,6393,141,85,42,2,2,1,25,676.53,0,45.34,15.67,9.44,710.33,1.7176177992372776
12,0,15,0,8933,171,73,40,4,1,1,45,410.1,0,52.24,19.0,8.11,992.56,2.733467414991517
8,0,16,3,2853,45,31,19,3,2,1,30,239.92,0,63.4,5.0,3.44,317.0,-1.2584656781827592
2,0,9,1,4390,40,215,10,3,1,1,30,1037.2,0,109.75,4.44,23.89,487.78,0.6347528173450594
3,0,9,1,1488,19,0,7,3,1,1,30,60.28,1,78.32,2.11,0.0,165.33,-2.3044788162859913
11,0,40,1,4430,74,10,19,3,1,1,30,220.16,0,59.86,8.22,1.11,492.22,-0.5669691401937302
3,0,41,1,378,8,12,6,3,1,1,30,63.44,0,47.25,0.89,1.33,42.0,-2.652505991254683
13,0,39,1,2513,63,364,26,3,1,1,30,1559.04,0,39.89,7.0,40.44,279.22,1.8976224947222466
13,0,40,1,4258,69,6,37,1,1,1,15,270.985,0,61.71,7.67,0.67,473.11,-0.7294732562430047
6,0,40,1,2453,61,7,35,2,1,1,25,144.63,0,40.21,6.78,0.78,272.56,-1.2866494099519012
14,0,40,2,3835,85,37,30,3,2,1,30,304.8,0,45.12,9.44,4.11,426.11,-0.2800562430709566
7,0,40,1,2420,42,290,20,3,1,1,30,1258.48,0,57.62,4.67,32.22,268.89,0.8617403115046272
16,0,39,3,9175,124,149,45,3,1,1,30,967.96,0,73.99,13.78,16.56,1019.44,2.6436855220330644
10,0,40,1,13833,172,5,46,3,1,1,30,580.2,0,80.42,19.11,0.56,1537.0,3.3135924101989835
10,0,40,2,4575,86,7,27,3,1,1,30,214.44,0,53.2,9.56,0.78,508.33,-0.35101897032551366
9,0,40,1,5978,98,12,14,3,1,1,30,291.04,0,61.0,10.89,1.33,664.22,0.2330082879876011
12,0,40,1,2298,57,13,19,3,1,1,30,146.2,0,40.32,6.33,1.44,255.33,-1.3399715636956895
28,0,40,4,15200,228,59,34,3,1,1,30,853.12,0,66.67,25.33,6.56,1688.89,5.0820078726392275
7,0,40,2,3155,30,488,10,3,1,1,30,2079.4,0,105.17,3.33,54.22,350.56,2.5667358319461213
12,0,39,1,15545,185,155,32,2,1,1,25,1405.35,0,84.03,20.56,17.22,1727.22,5.261586659405041
6,0,39,2,6560,89,191,28,3,1,1,30,1029.96,0,73.71,9.89,21.22,728.89,1.7869054119692178
3,0,39,1,935,17,5,13,2,1,1,25,65.34,0,55.0,1.89,0.56,103.89,-2.426143320976065
5,0,40,1,770,17,18,10,3,1,1,30,103.48,0,45.29,1.89,2.0,85.56,-2.3510305836696075
3,1,39,1,60,3,5,2,2,1,1,25,25.335,1,20.0,0.33,0.56,6.67,-2.875921743949271
6,0,39,1,7568,130,389,45,3,1,1,30,1863.92,0,58.22,14.44,43.22,840.89,4.475069614127908
10,0,39,2,11525,157,16,49,4,2,1,45,332.05,0,73.41,17.44,1.78,1280.56,2.603847225199651
11,0,39,2,6778,78,113,39,2,1,1,25,817.02,0,86.9,8.67,12.56,753.11,0.9628273290297826
26,1,35,1,1015,50,21,19,3,1,1,30,126.6,1,20.3,5.56,2.33,112.78,-1.6947612174987894
24,1,38,9,10495,96,6,44,5,2,1,55,167.865,0,109.32,10.67,0.67,1166.11,1.214994247249043
16,0,38,2,5878,101,31,26,2,1,1,25,408.555,0,58.2,11.22,3.44,653.11,0.42819765615757527
4,0,36,1,2900,25,5,16,3,1,1,30,137.0,0,116.0,2.78,0.56,322.22,-1.8223065028257261
12,0,37,1,3050,44,14,18,3,1,1,30,179.76,1,69.32,4.89,1.56,338.89,-1.3784643400519816
12,1,38,1,2328,47,39,33,3,1,1,30,251.0,1,49.53,5.22,4.33,258.67,-1.277829860281856
3,0,38,1,193,5,5,4,3,1,1,30,27.92,1,38.6,0.56,0.56,21.44,-2.8097737827657485
4,0,38,1,1728,28,5,8,4,1,1,45,56.4,0,61.71,3.11,0.56,192.0,-2.0477701723835793
6,0,35,2,6845,100,19,24,5,1,1,55,132.675,0,68.45,11.11,2.11,760.56,0.5344001886501448
3,0,38,1,688,10,14,6,4,1,1,45,52.45,1,68.8,1.11,1.56,76.44,-2.5268901772514463
3,0,38,2,398,7,9,4,5,1,1,55,19.575,0,56.86,0.78,1.0,44.22,-2.6914501176897496
28,0,33,4,16135,241,5,82,2,1,1,25,759.42,0,66.95,26.78,0.56,1792.78,5.05439656041205
9,1,36,4,7025,119,276,35,3,2,1,30,1389.76,0,59.03,13.22,30.67,780.56,3.1634414972043
5,0,38,1,3778,85,7,30,3,1,1,30,182.52,0,44.45,9.44,0.78,419.78,-0.5570297639532622
6,0,37,1,1725,47,43,22,3,1,1,30,242.88,0,36.7,5.22,4.78,191.67,-1.3854520329113393
9,0,38,1,2840,56,180,25,2,1,1,25,940.32,0,50.71,6.22,20.0,315.56,0.237711709576932
7,0,29,2,1375,39,198,13,3,2,1,30,848.56,0,35.26,4.33,22.0,152.78,-0.24564699917384303
14,0,29,1,760,28,15,9,3,1,1,30,91.52,0,27.14,3.11,1.67,84.44,-2.189105671537143
3,0,28,1,885,13,26,5,4,1,1,45,87.45,0,68.08,1.44,2.89,98.33,-2.322868288272878
13,0,27,1,1285,35,24,15,2,1,1,25,167.4,0,36.71,3.89,2.67,142.78,-1.8644580771085948
5,0,27,1,3285,64,13,25,3,1,1,30,185.96,0,51.33,7.11,1.44,365.0,-0.9849950438404689
5,0,20,1,1755,29,33,16,2,1,1,25,228.78,0,60.52,3.22,3.67,195.0,-1.7781331473440152
19,0,19,2,6453,144,90,44,2,2,1,25,701.865,0,44.81,16.0,10.0,717.0,1.8277280928606907
15,0,17,1,8993,174,78,42,5,1,1,55,254.505,0,51.68,19.33,8.67,999.22,2.84357770861493
11,0,18,4,2913,48,36,21,3,1,1,30,262.44,0,60.69,5.33,4.0,323.67,-1.148355384559346
5,0,11,2,4450,43,220,12,3,1,1,30,1059.72,0,103.49,4.78,24.44,494.44,0.7448631109684727
6,1,11,2,1548,22,5,9,3,1,1,30,82.8,1,70.36,2.44,0.56,172.0,-2.194368522662578
5,0,36,0,4310,68,0,15,2,1,1,25,197.01,0,63.38,7.56,0.0,478.89,-0.7871897274405567
0,0,37,0,258,2,2,2,2,1,2,25,20.7,0,129.0,0.22,0.22,28.67,-2.8727265785015095
7,0,35,0,2393,57,354,22,2,1,1,25,1703.25,0,41.98,6.33,39.33,265.89,1.6774019074754198
7,0,36,0,4138,63,0,33,1,1,1,15,231.055,0,65.68,7.0,0.0,459.78,-0.9145632464263638
0,0,36,0,2333,55,0,31,1,1,1,15,131.34,0,42.42,6.11,0.0,259.22,-1.480522049401127
8,0,36,0,3715,79,27,26,3,1,1,30,259.76,0,47.03,8.78,3.0,412.78,-0.5002768303177831
1,0,36,0,2300,36,280,16,3,1,1,30,1213.44,0,63.89,4.0,31.11,255.56,0.6415197242578008
10,0,35,1,9055,118,139,41,3,1,1,30,922.92,0,76.74,13.11,15.44,1006.11,2.423464934786238
4,0,36,0,13713,166,0,42,3,1,1,30,555.16,0,82.61,18.44,0.0,1523.67,3.1372850692814915
4,0,36,0,4455,80,0,23,3,1,1,30,181.4,0,55.69,8.89,0.0,495.0,-0.5448916097747396
3,0,36,0,5858,92,2,10,2,1,1,25,276.75,0,63.67,10.22,0.22,650.89,0.01278770074077451
6,1,36,0,2178,51,3,15,3,1,2,30,101.16,0,42.71,5.67,0.33,242.0,-1.560192150942516
22,0,36,2,15080,222,49,30,3,1,1,30,808.08,0,67.93,24.67,5.44,1675.56,4.861787285392402
1,0,36,0,3035,24,478,6,3,1,1,30,2034.36,0,126.46,2.67,53.11,337.22,2.3465152446992947
6,0,35,0,15425,179,145,28,2,1,1,25,1354.68,0,86.17,19.89,16.11,1713.89,5.0413660721582145
0,0,35,0,6440,83,181,24,3,1,1,30,984.92,0,77.59,9.22,20.11,715.56,1.5666848247223912
0,0,35,0,815,11,0,9,2,1,2,25,37.17,0,74.09,1.22,0.0,90.56,-2.602450661893557
0,0,36,0,650,11,8,6,2,1,2,25,65.745,0,59.09,1.22,0.89,72.22,-2.571251170916434
0,0,35,0,0,0,0,0,2,1,2,25,0.0,1,0.0,0.0,0.0,0.0,-2.9860320375726848
0,0,35,0,7448,124,379,41,2,1,1,25,2046.24,0,60.06,13.78,42.11,827.56,4.2548490268810815
4,0,35,0,11405,151,6,45,3,1,1,30,486.24,0,75.53,16.78,0.67,1267.22,2.383626637952825
5,0,35,0,6658,72,103,35,2,1,1,25,766.35,0,92.47,8.0,11.44,739.78,0.742606741782956
20,0,31,0,895,44,11,15,2,1,2,25,91.755,1,20.34,4.89,1.22,99.44,-1.914981804745616
18,0,34,7,10375,90,0,40,4,1,1,45,261.625,0,115.28,10.0,0.0,1152.78,1.029904257065684
10,0,34,0,5758,95,21,22,2,1,1,25,357.885,1,60.61,10.56,2.33,639.78,0.20797706891074874
0,0,32,0,2780,19,0,12,3,1,1,30,111.96,0,146.32,2.11,0.0,308.89,-1.9986138437432182
6,0,33,0,2930,38,4,14,2,1,2,25,151.56,1,77.11,4.22,0.44,325.56,-1.5986849272988082
6,1,34,0,2208,41,29,29,3,1,2,30,205.96,1,53.85,4.56,3.22,245.33,-1.4980504475286827
0,1,34,0,0,0,0,0,3,1,2,30,0.0,1,0.0,0.0,0.0,0.0,-2.9860320375726848
0,0,34,0,1608,22,0,4,3,1,1,30,65.2,0,73.09,2.44,0.0,178.67,-2.2240775133010713
0,0,31,0,6725,94,9,20,4,1,1,45,192.975,0,71.54,10.44,1.0,747.22,0.31417960140331835
0,0,34,0,568,4,4,2,4,1,2,45,24.3,1,142.0,0.44,0.44,63.11,-2.7471107644982733
0,0,34,0,0,0,0,0,5,1,1,55,0.0,0,0.0,0.0,0.0,0.0,-2.9860320375726848
22,0,29,2,16015,235,0,78,2,1,1,25,731.25,0,68.15,26.11,0.0,1779.44,4.878089219494559
3,0,32,2,6905,113,266,31,2,2,1,25,1512.81,0,61.11,12.56,29.56,767.22,2.943220909957473
0,0,34,0,3658,79,0,26,2,1,1,25,168.165,0,46.3,8.78,0.0,406.44,-0.7509024034024881
0,0,33,0,1605,41,33,18,3,1,2,30,197.84,0,39.15,4.56,3.67,178.33,-1.6056726201581655
3,0,34,0,2720,50,170,21,2,1,1,25,889.65,0,54.4,5.56,18.89,302.22,0.017491122330105413
1,0,25,0,1255,33,188,9,2,2,1,25,903.96,0,38.03,3.67,20.89,139.44,-0.4658675864206696
8,0,25,0,640,22,5,5,2,1,2,25,52.29,0,29.09,2.44,0.56,71.11,-2.4093262587839694
0,1,24,0,765,7,16,1,4,1,2,45,59.3,1,109.29,0.78,1.78,85.0,-2.5430888755197048
7,0,23,0,1165,29,14,11,2,1,1,25,116.73,0,40.17,3.22,1.56,129.44,-2.0846786643554216
0,0,23,0,3165,58,3,21,3,1,1,30,140.92,0,54.57,6.44,0.33,351.67,-1.2052156310872955
0,0,16,0,1635,23,23,12,2,1,1,25,178.11,0,71.09,2.56,2.56,181.67,-1.998353734590842
13,0,15,0,6333,138,80,40,1,2,1,15,795.905,0,45.89,15.33,8.89,703.67,1.6075075056138644
9,0,13,0,8873,168,68,38,4,1,1,45,396.025,0,52.82,18.67,7.56,985.89,2.6233571213681035
5,0,14,2,2793,42,26,17,3,1,1,30,217.4,0,66.5,4.67,2.89,310.33,-1.3685759718061725
0,0,7,0,4330,37,210,8,3,1,1,30,1014.68,0,117.03,5.29,30.0,618.57,0.524642523721646
0,0,7,0,1428,16,0,5,3,1,1,30,57.76,1,89.25,2.29,0.0,204.0,-2.37067586358007
9,0,42,1,4450,73,15,21,3,1,1,30,240.92,0,60.96,8.11,1.67,494.44,-0.5356520725018614
11,0,41,1,2533,62,369,28,3,1,1,30,1579.8,0,40.85,6.89,41.0,281.44,1.9289395624141155
11,0,42,1,4278,68,11,39,1,1,1,15,299.53,0,62.91,7.56,1.22,475.33,-0.698156188551136
4,0,42,1,2473,60,12,37,2,1,1,25,167.985,0,41.22,6.67,1.33,274.78,-1.2553323422600324
12,0,42,2,3855,84,42,32,3,1,1,30,325.56,0,45.89,9.33,4.67,428.33,-0.24873917537908782
5,0,42,1,2440,41,295,22,3,1,1,30,1279.24,0,59.51,4.56,32.78,271.11,0.8930573791964962
14,0,41,3,9195,123,154,47,3,1,1,30,988.72,0,74.76,13.67,17.11,1021.67,2.675002589724933
8,0,42,1,13853,171,10,48,3,1,1,30,600.96,0,81.01,19.0,1.11,1539.22,3.344909477890852
8,0,42,2,4595,85,12,29,3,1,1,30,235.2,0,54.06,9.44,1.33,510.56,-0.3197019026336449
7,0,42,1,5998,97,17,16,3,1,1,30,311.8,0,61.84,10.78,1.89,666.44,0.2643253556794698
10,0,42,0,2318,56,18,21,3,1,2,30,166.96,0,41.39,6.22,2.0,257.56,-1.3086544960038204
26,0,42,4,15220,227,64,36,3,2,1,30,873.88,0,67.05,25.22,7.11,1691.11,5.113324940331097
5,0,42,2,3175,29,493,12,3,1,1,30,2100.16,0,109.48,3.22,54.78,352.78,2.59805289963799
10,0,41,1,15565,184,160,34,2,1,1,25,1428.705,0,84.59,20.44,17.78,1729.44,5.29290372709691
4,0,41,2,6580,88,196,30,3,1,1,30,1050.72,0,74.77,9.78,21.78,731.11,1.8182224796610866
1,0,41,0,955,16,10,15,2,1,2,25,88.695,0,59.69,1.78,1.11,106.11,-2.3948262532841964
3,0,42,0,790,16,23,12,3,1,2,30,124.24,0,49.38,1.78,2.56,87.78,-2.319713515977739
4,0,41,1,7588,129,394,47,3,1,1,30,1884.68,0,58.82,14.33,43.78,843.11,4.506386681819777
8,0,41,2,11545,156,21,51,4,1,1,45,345.025,0,74.01,17.33,2.33,1282.78,2.63516429289152
9,0,41,2,6798,77,118,41,2,1,1,25,840.375,0,88.29,8.56,13.11,755.33,0.9941443967216513
24,1,37,0,1035,49,26,21,3,1,2,30,147.36,1,21.12,5.44,2.89,115.0,-1.6634441498069208
22,1,40,9,10515,95,11,46,5,1,1,55,175.65,0,110.68,10.56,1.22,1168.33,1.2463113149409115
14,0,40,2,5898,100,36,28,2,1,1,25,431.91,1,58.98,11.11,4.0,655.33,0.4595147238494441
2,0,38,1,2920,24,10,18,3,1,1,30,157.76,0,121.67,2.67,1.11,324.44,-1.790989435133857
10,0,39,0,3070,43,19,20,3,1,2,30,200.52,1,71.4,4.78,2.11,341.11,-1.3471472723601128
10,1,40,0,2348,46,44,35,3,1,2,30,271.76,1,51.04,5.11,4.89,260.89,-1.2465127925899875
2,0,40,1,1748,27,10,10,4,1,1,45,69.375,0,64.74,3.0,1.11,194.22,-2.0164531046917107
4,0,37,2,6865,99,24,26,5,1,1,55,140.46,0,69.34,11.0,2.67,762.78,0.5657172563420136
1,1,40,0,708,9,19,8,4,1,2,45,65.425,1,78.67,1.0,2.11,78.67,-2.4955731095595777
1,0,40,2,418,6,14,6,5,1,1,55,27.36,0,69.67,0.67,1.56,46.44,-2.6601330499978806
26,0,35,4,16155,240,10,84,2,1,1,25,782.775,0,67.31,26.67,1.11,1795.0,5.085713628103919
7,1,38,4,7045,118,281,37,2,2,1,25,1586.835,0,59.7,13.11,31.22,782.78,3.1947585648961683
3,0,40,1,3798,84,12,32,3,1,1,30,203.28,0,45.21,9.33,1.33,422.0,-0.5257126962613935
4,0,39,0,1745,46,48,24,3,1,2,30,263.64,0,37.93,5.11,5.33,193.89,-1.3541349652194703
7,0,40,1,2860,55,185,27,2,1,1,25,963.675,0,52.0,6.11,20.56,317.78,0.2690287772688007
5,0,31,2,1395,38,203,15,2,2,1,25,977.985,0,36.71,4.22,22.56,155.0,-0.2143299314819742
12,0,31,0,780,27,20,11,3,1,2,30,112.28,0,28.89,3.0,2.22,86.67,-2.1577886038452743
1,0,30,0,905,12,31,7,4,1,2,45,100.425,0,75.42,1.33,3.44,100.56,-2.2915512205810096
11,0,29,1,1305,34,29,17,2,1,1,25,190.755,0,38.38,3.78,3.22,145.0,-1.833141009416726
3,0,29,1,3305,63,18,27,3,1,1,30,206.72,0,52.46,7.0,2.0,367.22,-0.9536779761486001
3,0,22,1,1775,28,38,18,2,1,1,25,252.135,0,63.39,3.11,4.22,197.22,-1.7468160796521466
17,0,21,2,6473,143,95,46,2,2,1,25,725.22,0,45.27,15.89,10.56,719.22,1.8590451605525598
13,0,19,1,9013,173,83,44,5,1,1,55,262.29,0,52.1,19.22,9.22,1001.44,2.874894776306799
9,0,20,4,2933,47,41,23,3,1,1,30,283.2,0,62.4,5.22,4.56,325.89,-1.1170383168674771
3,0,13,2,4470,42,225,14,3,1,1,30,1080.48,0,106.43,4.67,25.0,496.67,0.7761801786603414
4,0,13,2,1568,21,10,11,3,1,1,30,103.56,1,74.67,2.33,1.11,174.22,-2.163051454970709
7,0,34,0,4290,69,0,13,2,1,1,25,196.155,0,62.17,7.67,0.0,476.67,-0.7745935488030911
0,0,35,0,0,0,0,0,2,1,2,25,0.0,0,0.0,0.0,0.0,0.0,-2.9860320375726848
9,0,33,0,2373,58,349,20,2,1,1,25,1679.895,0,40.91,6.44,38.78,263.67,1.6460848397835512
9,0,34,0,4118,64,0,31,1,1,1,15,230.01,0,64.34,7.11,0.0,457.56,-0.901967067788898
2,0,34,0,2313,56,0,29,1,1,1,15,130.295,0,41.3,6.22,0.0,257.0,-1.4679258707636613
10,0,34,0,3695,80,22,24,3,1,1,30,239.0,0,46.19,8.89,2.44,410.56,-0.531593898009652
3,0,34,0,2280,37,275,14,3,1,1,30,1192.68,0,61.62,4.11,30.56,253.33,0.610202656565932
12,0,33,1,9035,119,134,39,3,1,1,30,902.16,0,75.92,13.22,14.89,1003.89,2.392147867094369
6,0,34,0,13693,167,0,40,3,1,1,30,554.4,0,81.99,18.56,0.0,1521.44,3.149881247918957
6,0,34,0,4435,81,0,21,3,1,1,30,180.64,0,54.75,9.0,0.0,492.78,-0.5322954311372738
5,0,34,0,5838,93,0,8,2,1,1,25,266.895,0,62.77,10.33,0.0,648.67,0.00781858084650644
8,0,34,0,2158,52,0,13,3,1,2,30,88.4,0,41.5,5.78,0.0,239.78,-1.5739439201026508
24,0,34,2,15060,223,44,28,3,1,1,30,787.32,0,67.53,24.78,4.89,1673.33,4.830470217700533
3,0,34,0,3015,25,473,4,3,1,1,30,2013.6,0,120.6,2.78,52.56,335.0,2.315198177007426
8,0,33,0,15405,180,140,26,2,1,1,25,1331.325,0,85.58,20.0,15.56,1711.67,5.010049004466346
2,0,33,0,6420,84,176,22,3,1,1,30,964.16,0,76.43,9.33,19.56,713.33,1.5353677570305226
0,0,33,0,795,12,0,7,2,1,2,25,36.315,0,66.25,1.33,0.0,88.33,-2.5898544832560915
1,0,34,0,630,12,3,4,2,1,2,25,42.39,0,52.5,1.33,0.33,70.0,-2.602568238608303
0,0,33,0,0,0,0,0,2,1,2,25,0.0,1,0.0,0.0,0.0,0.0,-2.9860320375726848
2,0,33,0,7428,125,374,39,2,1,1,25,2022.885,0,59.42,13.89,41.56,825.33,4.223531959189213
6,0,33,0,11385,152,1,43,3,1,1,30,465.48,0,74.9,16.89,0.11,1265.0,2.352309570260956
7,0,33,0,6638,73,98,33,2,1,1,25,742.995,0,90.93,8.11,10.89,737.56,0.7112896740910872
22,0,29,0,875,45,6,13,2,1,2,25,68.4,1,19.44,5.0,0.67,97.22,-1.9462988724374848
20,0,32,7,10355,91,0,38,4,1,1,45,261.15,0,113.79,10.11,0.0,1150.56,1.0425004357031495
12,1,32,0,5738,96,16,20,2,1,1,25,334.53,1,59.77,10.67,1.78,637.56,0.17666000121887993
0,0,30,0,2760,20,0,10,3,1,1,30,111.2,0,138.0,2.22,0.0,306.67,-1.9860176651057526
8,1,31,0,2910,39,0,12,3,1,2,30,117.96,1,74.62,4.33,0.0,323.33,-1.62121934572481
8,0,32,0,2188,42,24,27,3,1,2,30,185.2,1,52.1,4.67,2.67,243.11,-1.5293675152205517
0,1,32,0,0,0,0,0,3,1,2,30,0.0,1,0.0,0.0,0.0,0.0,-2.9860320375726848
0,0,32,0,1588,23,0,2,3,1,1,30,64.44,0,69.04,2.56,0.0,176.44,-2.2114813346636057
2,0,29,0,6705,95,4,18,4,1,1,45,180.0,0,70.58,10.56,0.44,745.0,0.28286253371144965
0,0,32,0,0,0,0,0,4,1,2,45,0.0,1,0.0,0.0,0.0,0.0,-2.9860320375726848
0,0,32,0,0,0,0,0,5,1,1,55,0.0,0,0.0,0.0,0.0,0.0,-2.9860320375726848
24,0,27,2,15995,236,0,76,2,1,1,25,730.395,0,67.78,26.22,0.0,1777.22,4.890685398132025
5,0,30,2,6885,114,261,29,2,2,1,25,1489.455,0,60.39,12.67,29.0,765.0,2.9119038422656045
1,0,32,0,3638,80,0,24,2,1,1,25,167.31,0,45.48,8.89,0.0,404.22,-0.7383062247650225
2,0,31,0,1585,42,28,16,3,1,2,30,177.08,0,37.74,4.67,3.11,176.11,-1.6369896878500345
5,0,32,0,2700,51,165,19,2,1,1,25,866.295,0,52.94,5.67,18.33,300.0,-0.013825945361763292
3,0,23,0,1235,34,183,7,2,2,1,25,880.605,0,36.32,3.78,20.33,137.22,-0.4971846541125383
10,0,23,0,620,23,0,3,2,1,2,25,28.935,0,26.96,2.56,0.0,68.89,-2.440643326475838
0,0,22,0,0,0,11,0,4,1,2,45,27.5,0,0.0,0.0,1.22,0.0,-2.8894228956481487
9,0,21,0,1145,30,9,9,2,1,1,25,93.375,0,38.17,3.33,1.0,127.22,-2.11599573204729
1,0,21,0,3145,59,0,19,3,1,1,30,128.16,0,53.31,6.56,0.0,349.44,-1.2189674002474304
1,0,14,0,1615,24,18,10,2,1,1,25,154.755,0,67.29,2.67,2.0,179.44,-2.029670802282711
15,0,13,0,6313,139,75,38,1,2,1,15,767.36,0,45.42,15.44,8.33,701.44,1.5761904379219955
11,0,11,0,8853,169,63,36,4,1,1,45,383.05,0,52.38,18.78,7.0,983.67,2.592040053676235
7,0,12,2,2773,43,21,15,3,1,1,30,196.64,0,64.49,4.78,2.33,308.11,-1.3998930394980413
1,0,5,0,4310,38,205,6,3,1,1,30,993.92,0,113.42,7.6,41.0,862.0,0.4933254560297773
2,0,5,0,1408,17,0,3,3,1,1,30,57.0,1,82.82,3.4,0.0,281.6,-2.3580796849426044
13,0,44,1,4630,81,20,23,3,1,1,30,268.44,0,57.16,9.0,2.22,514.44,-0.31047861482470324
